Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Return","1M Return vs Nifty","% Away From 52W High","% Away From 52W Low","1Y Return","5Y CAGR","6M Return vs Nifty","Daily Volume","Face value","Close Price","1D Return","1W Return","1W Return vs Nifty","1D Change in Volume","1M Average Volume","1W Change in Volume","3M Average Volume"
DRA Consultants Ltd,DRA,,"26.328","28.740187798437443","50","-7.335907335907331","-3.1342739931869747","70.83333333333333","79.7752808988764","29.380053908355787","-8.293123134723857","38.3072333612678","0","10","24","0","4.575163398692814","5.933053077405669",,"4125",,"5128.205128205128"
Vinyoflex Ltd,VINYOFL,,"26.324305","89.84375323485546","102.82392026578071","28.391167192429023","32.59280053514938","10.728910728910733","137.5486381322957","90.4836193447738","11.705796702377036","91.13115362704852","22966","10","61.05","0.1640689089417462","21.61354581673306","22.971435495445913","137.7925036239387","4172.791666666667","283.0859049207673","3605.4307692307693"
Palco Metals Ltd,PALCO,,"26.18","149.65599187824733","55.514705882352956","-1.780185758513919","2.4214475842064376","43.026004728132385","150.2958579881657","150.29585798816566","16.751145735902085","43.821939243620754","586","10","63.45","-3.0557677616501144","-1.3986013986013854","-0.040711719888530284","-72.35849056603773","1600.9583333333333","147.25738396624473","2243.9846153846156"
VSF Projects Ltd,VSFPROJ,"Construction & Engineering","26.14617225","2.3970102458300264","73.67458866544789","-11.710037174721187","-7.50840383200083","29.684210526315802","124.0566037735849","3.03687635574837","42.23310474679434","61.98182202671568","12221","10","47.5","6.621773288439962","8.077360637087592","9.435250315800447","-55.706570983291655","3200.125","1290.3299203640502","4049.714285714286"
Fine-Line Circuits Ltd,FINELINE,,"26.130316909999998","-4.067458226456475","20.405982905982917","-11.189913317572893","-6.988279974852537","75.86512866015971","52.297297297297305","-3.427592116538132","29.671343519691472","8.713216267250715","1053","10","56.35","3.6798528058877644","8.574181117533724","9.93207079624658","-35.753508236729715","1434.125","1057.142857142857","1623.923076923077"
Blue Chip Tex Industries Ltd,BLUECHIPT,"Textiles","26.08942","-30.48307631454232","-1.160614002246358","-0.1890359168241966","4.01259742589616","51.515151515151516","19.67361740707163","-29.843210204623976","-2.67947837888014","-12.85338064097856","499","10","132","-0.3021148036253819","2.2859356838434626","3.643825362556318","1117.0731707317073","1127.125","7.081545064377682","1077.6615384615384"
The Victoria Mills Ltd,VICTMILL,"Real Estate","26.0582784","-6.887695518822978","22.704545454545453","0.7219745163516933","4.92360785907205","41.322467123541394","41.66513604995934","-6.247829408904635","-8.404091585732331","11.011778815813251","9","100","2699.5","2.1029539695147283","-3.1048097631012204","-1.7469200843883652","-85","179.75","-55","92.2258064516129"
ASL Industries Ltd,ASLIND,"Industrial Machinery","26.042725","-45.877961348013585","-17.996604414261466","-12.181818181818185","-7.980184839097829","91.51138716356108","3.8709677419354716","-45.23809523809524","-7.674232445724394","-29.689371052993668","12000","10","24.15","1.6842105263157834","1.6842105263157834","3.0421002050286385","200","9600","200","15294.117647058823"
Rolcon Engineering Company Ltd,ROLCOEN,"Industrial Machinery","25.96482","193.35336570057237","193.9932318104907","17.796610169491526","21.998243512211882","3.85611510791366","180.0161160354553","193.9932318104907","24.558759562235167","182.3004651717585","0","10","347.5","1.1792109477362096","14.516394793211406","15.87428447192426","-100","411.3636363636364","-100","462.280701754386"
Medinova Diagnostic Services Ltd,MEDINOV,"Hospitals & Diagnostic Centres","25.8524476","-38.587360143331225","2.5641025641025585","0.3861003861003916","4.587733728820748","73.07692307692308","18.181818181818187","-37.94749403341288","1.6137364741595661","-9.128664074629643","1272","10","26","0.3861003861003916","-0.19193857965451327","1.165951099058342","180.79470198675497","3320.5416666666665","-56.79347826086956","2048.296875"
Moxsh Overseas Educon Ltd,MOXSH,"Academic & Educational Services","25.802812","-0.6398661099183431",,,"4.201633342720356","13.588557004627688","14.004796163069532",,,"-11.692766638732202","35200","10","118.85","3.2132001736864857","-7.039499413375049","-5.681609734662194","-67.88321167883211",,"-80.09049773755656",
VMS Industries Ltd,VMS,"Shipbuilding","25.780856915","10.244487631578266","11.111111111111118","13.588850174216036","17.79048351693639","35.889570552147234","55.23809523809524","10.884353741496609","-2.76172039186785","-0.5816555276210842","2869","10","16.3","4.153354632587861","1.6843418590143453","3.0422315377272007","-78.4722743303069","21978.375","-72.70997812232474","16568.046153846153"
Tinna Trade Ltd,TINNATFL,"Agro Products","25.69425","-18.222283692335925","0.8403361344537815","-15.492957746478874","-11.291324403758518","109.66666666666667","25.786163522012572","-17.58241758241758",,"-10.85243050427842","312","10","30","0","0.671140939597313","2.029030618310168","-81.88153310104529","2202.375","-86.2129916040654","1495.076923076923"
Supra Pacific Management Consultancy Ltd,SUPRAP,,"25.6689797","-8.016915290246201","-6.224066390041493","25.90529247910865","30.106925821829005","62.831858407079636","34.925373134328375","-7.377049180327858","6.951574506130975","-17.916833028773695","13305","10","22.6","-0.6593406593406531","-0.8771929824561372","0.48069669625671796","13.795757783099555","7098.708333333333","-16.509789156626507","5062.876923076923"
Easun Capital Markets Ltd,EASUN,,"25.6231241","109.36013389008167","52.67062314540059","22.06405693950179","26.265690282222145","0","133.86363636363637","110.00000000000001",,"40.97785650666839","288","10","51.45","5.000000000000006","5.000000000000006","6.357889678712861",,"14285.391304347826","-99.05882352941177","14352.046511627907"
Vintron Informatics Ltd,VINTRON,"Electronic Equipments","25.6223466","171.5823561123039","188.2352941176471","141.5492957746479","145.75092911736826","0","226.66666666666666","172.22222222222223","61.72847269258088","176.5425274789149","69047","1","3.43","4.892966360856273","26.568265682656833","27.926155361369688","-75.41735350349086","54542.90476190476","2127.3225806451615","41148.3"
Golden Crest Education & Services Ltd,GOLDENCREST,"0","25.5956","10.26922479917256","-6.1538461538461595","-12.387791741472181","-8.186158398751825","17.93032786885247","41.04046242774566","10.909090909090903","26.32428483954632","-17.846612792578362","0","10","48.8","0","0","1.3578896787128552",,"3.4210526315789473",,"9.68"
Balurghat Technologies Ltd,BALTE,"Logistics","25.5892","11.28013389008166","55.44444444444444","-0.850460666194183","3.3511726765261733","9.006433166547524","95.39106145251397","11.920000000000002","15.55522513765677","43.75167780571224","13684","10","13.99","-0.49786628733997357","5.664652567975831","7.022542246688686","-51.494098046861154","23629.416666666668","204.3594306049822","19974.8"
Padmanabh Alloys and Polymers Ltd,PADALPO,"Plastic Products","25.5778425","-0.6398661099183431",,,"4.201633342720356","0","10.139860139860147",,,"-11.692766638732202","0","10","47.25","0",,"1.3578896787128552","-100",,,
Viji Finance Ltd,VIJIFIN,"Specialized Finance","25.575","-50.639866109918344","6.7796610169491425","10.526315789473678","14.727949132194034","100","53.65853658536586","-50","-21.91346298952276","-4.9131056217830595","239362","1","3.15","1.6129032258064457","-3.0769230769230798","-1.7190333982102246","226.50661574137226","221451","-67.39217206152605","184579.2"
Jamshri Realty Ltd,JAMSHRI,,"25.500725","-11.522921002519775","4.564547745729487","-2.25130890052356","1.9503244421967962","28.08516336368505","11.462686567164182","-10.883054892601432","192.971680425435","-7.128218893002715","1","1000","3734","2.3013698630136985","0.05359056806002144","1.4114802467728766","0","14.952380952380953","-66.66666666666667","13.318181818181818"
Gini Silk Mills Ltd,GINISILK,"Textiles","25.418367","-16.12899654470096","-0.21390374331551107","31.408450704225345","35.6100840469457","43.3011789924973","45.78124999999999","-15.489130434782616","-29.612169947568468","-11.906670382047713","366","10","46.65","2.640264026402631","-11.48007590132828","-10.122186222615426","-92.20779220779221","9285.791666666666","-98.43656557026911","5066.753846153846"
Mihika Industries Ltd,MIHIKA,"Commodities Trading","25.35","27.642962172909925","28.28282828282827","6.054279749478077","10.255913092198433","9.4488188976378","23.902439024390244","28.28282828282827","5.1074997169549","16.590061644096068","130","10","25.4","4.95867768595041","4.742268041237107","6.100157719949962",,"1240","1525","8725.787878787878"
Sunshine Capital Ltd,SCL,"0","25.1954415","57.44836918419931","25.40505508749191","15.17857142857143","19.380204771291787","0","51.171875","58.08823529411765","7.9006907773408575","13.712288448759708","0","10","19.35","0","0","1.3578896787128552",,"20",,"24"
Dhruv Wellness Ltd,DWL,"Pharmaceuticals","25.1902415","-82.87390866310983","-90.8726543997085","-57.86375105130362","-53.66211770858327","1652.0958083832334","10.109890109890118","-82.23404255319149","4.605747420861728","-102.56542103844069","99300","10","25.05","4.811715481171557","-14.358974358974358","-13.001084680261503","3210","5021.739130434783","16450","8217.073170731708"
Amin Tannery Ltd,AMINTAN,,"25.157792880000002","-48.5334359547077","5.381165919282516","-8.914728682170542","-4.713095339450186","165.95744680851064","24.33862433862435","-47.893569844789354",,"-6.311600719449686","90829","1","2.35","0.858369098712447","0.858369098712447","2.216258777425302","21.25892797543555","59577.708333333336","201.06732075972025","53395.276923076926"
Simplex Realty Ltd,SIMPLXREA,"Real Estate","25.1276088","-20.753988791801373","-1.581722319859396","-7.1310116086235515","-2.9293782659031953","39.28571428571428","12.979152656355076","-20.11412268188303","-8.6639083741752","-13.274488958591597","0","10","84","0","-2.834008097165995","-1.47611841845314","-100","212.54166666666666","-100","213.42372881355934"
Dynamic Services & Security Ltd,DYNAMIC,"Employment Services","25.07624616","-44.842764660642985","7.8431372549019525","-3.022670025188924","1.1789633175314322","199.74025974025977","48.07692307692308","-44.20289855072464",,"-3.8496293838302496","22000","10","19.25","3.7735849056603734","6.944444444444445","8.3023341231573","120","10857.142857142857","120","12000"
Worth Investment & Trading Co Ltd,WORTH,,"25.0035","-32.828707311635085","24.999999999999996","1.0230179028132955","5.224651245533652","101.39240506329115","37.87085514834207","-32.18884120171674","22.913302635657473","13.307233361267794","0","10","39.5","0","0","1.3578896787128552",,"297.9","-100","396.82978723404256"
