Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","70962.55488525","761.35","75.83251927295946"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","67856.96227582","473","89.37956042652789"
SRF Ltd,SRF,"Diversified Chemicals","67196.54357925","2238.65","35.57405479281811"
Marico Ltd,MARICO,"FMCG - Personal Products","66580.88925355","513.05","54.35174632942858"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","66335.24899572","205.4","38.09174428107439"
GAIL (India) Ltd,GAIL,"Gas Distribution","64008.595024605005","97.25","5.222603577215624"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","63682.943508585","4387.45","60.32866948520747"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","63299.2967476","5680.25","15.607566856260847"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","62704.4388006","1271.7","49.3339513151642"
Punjab National Bank,PNB,"Public Banks","62487.51329165","56.4","16.18537205086327"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","61778.8235493","856.5","74.5580781430126"
Yes Bank Ltd,YESBANK,"Private Banks","61675.88723868001","21.1","57.96333559389124"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","59653.41735285","591.1","10.36900728358869"
Indian Overseas Bank,IOB,"Public Banks","59637.110667680005","30.95","34.890193922400066"
ABB India Ltd,ABB,"Heavy Electrical Equipments","59461.490025","2843.6","114.4128264320488"
Canara Bank Ltd,CANBK,"Public Banks","59412.765753","320.45","9.70029678375273"
IDBI Bank Ltd,IDBI,"Public Banks","58869.401908125","59","23.234742314785215"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","56147.15006145","667.9","26.072388826357905"
Berger Paints India Ltd,BERGEPAINT,"Paints","55658.3119677","568.4","66.83114234492443"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","55296.078267594996","2742.55","23.866612974170014"
Union Bank of India Ltd,UNIONBANK,"Public Banks","55088.06457596","80.8","10.462454171921502"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","54066.26838123","718.15","14.910719355000001"
Tube Investments of India Ltd,TIINDIA,"Cycles","53516.97533034","2705.4","69.60833387138898"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","52839.79432","1546.5","67.98913291644139"
Macrotech Developers Ltd,LODHA,"Real Estate","51879.16481825","1058.1","43.147421191688004"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","51161.9813133","75.3","58.55113448535114"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","50972","636.25","76.80091609034338"
PI Industries Ltd,PIIND,"Diversified Chemicals","50480.47769355","3288.15","59.82516910826027"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","50239.04576229","187.35","7.882984067767648"
Bosch Ltd,BOSCHLTD,"Auto Parts","50158.9487388","17065.7","41.171262200443195"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","49420.65615924","1294.65","18.162013949961434"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","48943.47448428","1024.5","64.66990101249927"
Info Edge (India) Ltd,NAUKRI,"Online Services","47962.937783745","3687.05","3.758980543509729"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","47184.12164346","41710.15","87.94147993338808"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","46971.90081053","22328.05","58.81044298300984"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","46932.001811379996","2135.4","33.688171104907646"
Zomato Ltd,ZOMATO,"Online Services","46851.6992498","55.25","-38.762057789195005"
JSW Energy Ltd,JSWENERGY,"Power Generation","46103.7783536","278.8","26.67085788293553"
ACC Ltd,ACC,"Cement","45823.84791726","2415.95","24.596937137214923"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","45803.07231808","14020.05","79.5537513123404"
Trent Ltd,TRENT,"Retail - Apparel","45498.840133390004","1248.15","429.92384138136674"
Container Corporation of India Ltd,CONCOR,"Logistics","45145.66471506","736.45","42.78723246176735"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","44664.46548489","310.3","-180.30221816926382"
United Breweries Ltd,UBL,"Alcoholic Beverages","44439.895418175","1657.55","121.59988895686203"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","43894.58228415","153.25","1068.2546187430007"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","43757.58492897","430.7","9.751428460091816"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","43586.80941222","147.75","-121.54376456936477"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","43426.5612448","1072.25","10.81174454198939"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","42983.26884522","1173.95","53.30795322603925"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","42799.35715","32.7","7.028005239883541"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","42711.835188","433.35","70.5922406214362"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","42396.83538071","625.8","37.52530082730879"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","42251.22655605","2688.45","67.15924872210384"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","42088.05202085","2211.4","29.3218882949811"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","41476.44925683","1516.7","38.463952497245735"
Power Finance Corporation Ltd,PFC,"Specialized Finance","41422.87729152","157.15","2.9556545115210455"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","41369.042397059995","270","45.333949631862694"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","40957.831957040005","869.5","37.86221708793082"
Astral Ltd,ASTRAL,"Building Products - Pipes","40494.201772395005","2060.25","83.70029303926216"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","39873.990285475","4385.4","90.35984020457532"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","39645.73179574","2620.35","43.63530800680186"
NHPC Ltd,NHPC,"Renewable Energy","39376.5364356","39.55","11.175182112346283"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","39184.992","1431.35","41.96563497333302"
Tata Elxsi Ltd,TATAELXSI,"Software Services","39156.0002678","6193.9","71.23676503256551"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","38740.51246195","242.35","307.9776807532356"
MRF Ltd,MRF,"Tires & Rubber","38711.37202394","93141.5","57.844645374444845"
Bank of India Ltd,BANKINDIA,"Public Banks","38655.5923794","93.45","11.067950643623469"
UCO Bank,UCOBANK,"Public Banks","38498.18532672","31.05","39.911036001160966"
L&T Technology Services Ltd,LTTS,"Software Services","38453.130030809996","3624.6","40.18090912310348"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","37915.564782040005","1977.7","26.498074459102067"
Tata Communications Ltd,TATACOMM,"Telecom Services","37808.1","1326.6","25.51567055393588"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","37638.44220672","59.5","284.49313837279135"
Indian Bank,INDIANB,"Public Banks","36703.150366329995","293.45","8.86162097400171"
