Name,Ticker,"Sub-Sector","Market Cap","Promoter Holding Change – 3M","Promoter Holding","Retail Investor Holding","Pledged Promoter Holdings","No. of Shareholders","MF Holding Change – 3M","Insider Trades - 6M Cumulative","Mutual Fund Holding","Insider Trades - 3M Cumulative","Insider Trades - 1M Cumulative","Insurance Firms Holding","FII Holding Change – 6M","FII Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","DII Holding Change – 3M","Domestic Institutional Holding","Promoter Holding Change – 6M "," MF Holding Change – 6M","Bulk Deals - 6M Cumulative","Bulk Deals - 3M Cumulative","Bulk Deals - 1M Cumulative"
Picturehouse Media Ltd,PICTUREHS,"Movies & TV Serials","34.22375","1.8535502392344512","73.90456267942584","3.204731100478469","14.354066985645932","4763","0",,"0",,,"0","0","0","0","-1.8535502392344498","-1.8535502392344498","0.000053588516746411485","1.8535502392344512","0",,,
Venlon Enterprises Ltd,VENLONENT,"Commodity Chemicals","34.21883357","0","60.37596520564274","7.485002534526779","0","5056","0",,"0.009570752881744122",,,"0","0","0","0","0","0","0.022663542823970078","0","0",,,
Maestros Electronics & Telecommunications Systems Ltd,METSL,"Electronic Equipments","34.1634694","-8.290550842005523","55.51588797360259","17.25936652089556","0","2435","0",,"0",,,"0","0","0","0.20416544696716313","0","0","0","-8.290550842005523","0",,,
Kridhan Infra Ltd,KRIDHANINF,"Iron & Steel","34.1205138","0","47.15291714042126","32.18650546815623","0","31273","0",,"0",,,"0","0.0025744043748838763","0.0025744043748838763","4.4132760978529","0","0","0","0","0",,,
Artefact Projects Ltd,ARTEFACT,"Construction & Engineering","34.11975","-3.7869415807560145","39.92439862542955","18.410116838487973","0","2598","0","-2.7560137457044678","0","-0.5910652920962199","0","0","-0.274914089347079","-0.21054295532646045","0.4123711340206186","0","0","0","-3.7869415807560145","0","-2.1174982817869417","0","0"
Regis Industries Ltd,REGIS,,"34.116998","0","0","0.40579111034329574","0","1718","0",,"0",,,"0","0","0","0","0","0","0","0","0","-3.950615760507416","-2.4692119746291863","0"
Parabolic Drugs Ltd,PARABDRUGS,"Pharmaceuticals","34.040607699999995","0","37.79118740585821","19.05946056303807","36.5474082003536","13652","0",,"0",,,"0","0","0","8.063877191005611","0","0","0.5730028433070541","0","0",,,
Kisan Mouldings Ltd,KISAN,"Building Products - Pipes","34.032380325","0","43.73054240660141","15.976138013496415","41.27288832242444","8809","0",,"0",,,"0","0","0","0.47839733349594904","0.008859209879554611","0.008859209879554611","0.008859209879554611","0","0",,,
Tamilnadu Telecommunication Ltd,TNTELE,"Telecom Equipments","34.032345","-0.0011143886205218223","63.63186882949148","13.400621702677263","0","22630","-8.81767776546652e-8",,"0.00503491604824763",,,"0","7.180228103587925","-0.00012574775248008763","7.180228103587925","-7.184646013162004","0.0015089653622233357","13.837700575731704","-0.013432168507264919","-0.0000010583252114714295",,,
Polychem Ltd,POLYCHEM,"Specialty Chemicals","33.93978","0.0009899887388797879","52.090484970733456","35.23444170822557","0","6007","-0.04009454392456286",,"0",,,"2.7865708027571188","0","0","0","-0.23264735363635225","-0.06212179336460055","3.013030726775483","0.0009899887388797879","-0.04009454392456286",,,
