Name,Ticker,"Sub-Sector","Market Cap","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","1Y Hist Op. Cash Flow Growth","5Y Historical Revenue Growth","3Y Historical Dividend Growth","1Y Forward EPS Growth","1Y Historical Revenue Growth"
United Polyfab Gujarat Ltd,UNITEDPOLY,"Textiles","277.398522",,,"2034.761363636355","40.633705813198276",,"37.45888157894725","46.40502988174813",,"-65.96209912536443","75.26185575371338",,,"214.18325179309363"
Kilburn Engineering Ltd,KLBRENG-B,"Industrial Machinery","276.87035358",,,"101.12829027923966","-41.10932098429356",,"113.58035876064504","-13.129604077249846",,"-120.85020242914982","-2.8026899776751213",,,"27.068437180796746"
SoftSol India Ltd,SOFTSOL,"Software Services","276.73033885",,,"20.896601590744858","14.536982044147685",,"22.521097046413562","12.97906362844512","9.372349832955805","41.16022099447515","10.258304514628058",,,"79.85524728588665"
K M Sugar Mills Ltd,KMSUGAR,"Sugar","276.46051085",,,"58.00304878048759","7.967097932730471",,"37.95972707605251","7.2503197359243154","-16.50941451302319","-16.124469589816133","9.855188490557998",,,"10.054213898472142"
Kaiser Corporation Ltd,KACL,"Packaging","276.260355",,,"-40.43628920620274","7.500040294727817",,"-3.358208955224237","9.569879291822003",,"558.9285714285713","7.878248822058209",,,"40.72033898305081"
Master Trust Ltd,MASTERTR,"Diversified Financials","275.939342",,,"60.51789351178343","56.41409288940942",,"67.11895070104016","47.181129726651335",,"37.33660130718954","24.527280659482997",,,"47.40658362989323"
Milkfood Ltd,MLKFOOD,"FMCG - Foods","275.3997584",,,"43.011571438394704",,,"-20.02967359050479","-1.725173034385441","-11.790776016310245","6.526631657914472","-3.8848072629799835",,,"-13.290795547108347"
J C T Ltd,JCTLTD,"Textiles","275.261438638",,,"-35.63767305547856",,,"-1.0892667375131626","7.794970801023249","-14.98709062540029","1740.0990099009903","0.6857912051646098",,,"27.589575568113524"
Housing Development and Infrastructure Ltd,HDIL,"Real Estate","274.92232",,,"-1.1001118621821244",,,"-3.2769556025370035",,,"99.60212201591513","-68.96019593911524",,,"0.9389671361502261"
Fourth Dimension Solutions Ltd,4THDIM,"IT Services & Consulting","274.74750233000003",,,"180258.2325903116","36.76172949778791",,"-4.0000000000005365","-59.44237720711962",,"-75.08650519031141","-73.98388920229037",,,"-93.28048320120801"
Navkar Urbanstructure Ltd,NAVKAR,"Cement","272.220247",,,"80.3921568627452","16.89417068436272",,"-2.846975088967942","-3.307670140800223",,"-1178.0487804878048","-18.820897395640813","-53.5841116638722",,"76.0663507109005"
Asian Energy Services Ltd,ASIANENE,"Oil & Gas - Exploration & Production","271.771577",,,"71.95392113424911",,,"42.47167868177142","70.43333406094962",,"806.4610866372981","12.30282343639777",,,"8.635557205924837"
Panchmahal Steel Ltd,PANCHMAHQ,"Iron & Steel","270.72148851",,,"497.31317601588245","189.1309750936264",,"191.69096209912556","30.020633044116707","46.0364108758033","29.480164158686737","11.64134322012007",,,"68.24245601770944"
Mitsu Chem Plast Ltd,MITSU,"Commodity Chemicals","270.245151",,,"18.801652892561425","17.918373129661447",,"10.867768595041122","24.250600115018628","13.778237584266773","-37.88914198936978","22.25163532700911","6.265856918261115",,"44.26549264378063"
Nila Infrastructures Ltd,NILAINFRA,"Real Estate","269.814102",,,"-201.51515151515218",,,"-3.670212765957511","-11.675032182245316","13.621330699415513","250.08192244675038","-14.0328178393321",,,"-11.070215175537946"
Pavna Industries Ltd,PAVNAIND,"Auto Parts","268.58664",,,"20.634688663761715","9.899651634449903",,"62.39999999999982","33.70895224743151",,"-157.6923076923077","32.116671517606086",,,"53.438069216757754"
Maral Overseas Ltd,MARALOVER,"Textiles","268.55676",,,"434.05103668261467","37.0918457907246",,"127.32009117551281","18.00355362034274","-4.793699493882109","-10.629921259842531","10.133151917581817",,,"72.65878969742434"
Upsurge Seeds Of Agriculture Ltd,USASEEDS,"Seeds","267.707616",,,"61.82287755893572",,,"193.78238341968967",,,"-946.0526315789474",,,,"20.461049284578703"
Sadbhav Engineering Ltd,SADBHAV,"Construction & Engineering","267.650448",,,"-367.19819238218344",,,"-58.24518245182459","-21.30328697825574",,"-361.4256154723196","-9.485270072752073",,,"7.898120766956018"
