Name,Ticker,"Sub-Sector","Market Cap","Working Capital Turnover Ratio","Current Ratio","Net Income / Liabilities","Long Term Debt to Equity","Inventory Turnover Ratio","Earning Power","Debt to Equity","Days of Sales Outstanding","Days Payable Outstanding","Days of Inventory Outstanding","Cash Conversion Cycle","Asset Turnover Ratio","Quick Ratio","Interest Coverage Ratio"
New Light Apparels Ltd,NEWLIGHT,,"3.04397478","1.8588588588588595","1.347205707491082",,"16.85393258426966","1.4671814671814674",,"148.31460674157304","384.4588045234248","242.37280701754383","248.77631578947364",,"0.5162635529608007","0.9690844233055884","-6.130434782608697"
Regency Trust Ltd,REGTRUS,"Investment Banking & Brokerage","3.04","7.904761904761907","1.5714285714285712",,"0",,,"103.84615384615392","72.56024096385543",,,,"3.1028037383177574","1.5714285714285712",
Kiran Syntex Ltd,KIRANSY-B,"Textiles","3.0386785","-0.07547169811320754","0.0645161290322581",,"0",,,"6.756756756756755","0",,,,"0.007858546168958744","0.0645161290322581",
Dhenu Buildcon Infra Ltd,DHENUBUILD,"Commodities Trading","3.0378","0",,,"0",,,"0",,,,,"0",,
Virtualsoft Systems Ltd,VIRTUALS,"Telecom Infrastructure","3.0274944","-2.013029315960912","0.6857142857142857",,,"30.125",,,"112.2168284789644","144.63692946058092","12.116182572614107",,"0.13906390639063904","0.6703296703296704","-13.578947368421051"
Nikki Global Finance Ltd,NIKKIGL,"Diversified Financials","3.0195951","-0.0035906642728904844","0.21538461538461537",,"34.93150684931507",,,"34.93150684931507","9490",,,,"0.0021857923497267764","0.206993006993007",
Capfin India Ltd,CAPFIN,"Specialized Finance","3.0079350000000002","1.5","22","249.99999999999707","0",,"2.0689655172413794","0","0",,,,"0.0606060606060606","22",
Shivom Investment and Consultancy Ltd,SICLTD,"Diversified Financials","3.007906975","7.227272727272727","0.25",,"0",,"0.29508765839264084","0","0",,,"3034.9722766021","0.054615714899098326","0.25",
Oswal Yarns Ltd,OSWAYRN,"Textiles","2.99948","0.6492753623188406","6.338461538461538",,"5.434782608695653","0.7078825347758886","1.0257495336210686e-14","9.23913043478261","117.32142857142856","68.53711790393014","515.6222707423582",,"0.4896174863387979","1.1384615384615389","1.5728159515523053e-14"
Indergiri Finance Ltd,INDERGR,"Diversified Financials","2.996112","0.8409090909090908","4.411764705882352",,"0",,"1.7408123791102519","0","0",,,,"0.07054337464251668","3.4705882352941173",
Kovalam Investment and Trading Co Ltd,ZKOVALIN,"Investment Banking & Brokerage","2.993388244","5.5526315789473655","9.666666666666728","35.28265107212476","0",,"1.7058117606720384","0","0",,,,"0.02703395259449071","9.666666666666728",
International Data Management Ltd,IDM,"IT Services & Consulting","2.97","0","0.08695652173913046",,,,,,,,,,"0","0.08695652173913046",
I Power Solutions India Ltd,IPOWER,"IT Services & Consulting","2.963034","2.7777777777777777","12","199.99999999999568","0",,"0.4434589800443458","0","87.6",,,"87.9052307002","0.042662116040955635","12",
Hemo Organic Ltd,HEMORGANIC,"Pharmaceuticals","2.9425491","-0.1428571428571428","0.4999999999999999",,"399.9999999999908","2",,"399.9999999999908","2372.5","1733.75","182.5",,"0.04255319148936171","0.39999999999999986",
Pagaria Energy Ltd,WOMENNET,"Commodities Trading","2.92297824","0.07766990291262135","8.285714285714286",,"2.593192868719611","0",,"2.593192868719611","1104.125",,,"-931.2501715011","0.029476787030213707","8.285714285714286",
Eyantra Ventures Ltd,PUNITCO,,"2.91850304685046","1.0258064516129033","158","299.9999999999986","0","1.3047619047619048","1.898734177215181","0","10.330188679245282","2.6642335766423355","279.7445255474452",,"1.0159744408945688","56.00000000000001",
Mipco Seamless Rings Gujarat Ltd,MPCOSEMB,,"2.86784","0","0.15126050420168066",,,,,,,,,,"0","0.15126050420168066",
City Online Services Ltd,CITYONLINE,"Cable & D2H","2.8664085","-2.0272373540856026","0.4614661654135338",,,"4.615384615384615",,,"78.11420345489445","4793.666666666666","79.08333333333334",,"1.1363140676117771","0.4492481203007519","-9.125000000000016"
Bridge Securities Ltd,BRIDGESE,"Investment Banking & Brokerage","2.857105","3.401273885350318","2.2777777777777777",,"0",,,"12.727272727272728","0.6835205992509363",,,"96.1639562278","1.5659824046920823","2.1111111111111107",
Encode Packaging India Ltd,ENCODE,,"2.83689","0.4371134020618557","14.583333333333332","26.31578947368427","1.529051987767584","28.666666666666668","2.023121387283239","1.529051987767584","1039.9056603773586","693.9244186046511","12.732558139534884","670.8637878178","0.21200000000000002","14.083333333333332",
IDFC NIFTY ETF,IDFNIFTYET,"Equity","2.786231955",,,,,,,,,,,,,,
Rajvir Industries Ltd,RAJVIR,"Textiles","2.7764277","-0.6742403750788928","0.648243280432988",,,"1.298162418494369",,,"34.26450922706606","481.16666666666663","281.16666666666663",,"0.19943992532337645","0.5821484267498396","-0.632768361581921"
SSPN Finance Ltd,SSPNFIN,"Diversified Financials","2.764072","0.10663198959687906","3.1202185792349724","3.27868852459016","0",,"1.2903225806451601","22.88329519450801","516.3414634146341",,,"4446.5128477512","0.07263064658990256","3.1202185792349724",
JLA Infraville Shoppers Ltd,JSHL,,"2.75825","0.25665101721439754","2.485294117647059","5.7142857142857215","0.13175230566534915",,"0.9650180940892646","0.13175230566534915","80.12195121951218",,,,"0.10282131661442008","2.485294117647059","8.000000000000004"
SIP Industries Ltd,SIPIND,"Retail - Department Stores","2.7403791899999996","0","1.4682539682539684",,"66.66666666666677","0",,"66.66666666666677",,,,,"0","0.23015873015873017",
Natura Hue Chem Ltd,NATHUEC,"Ports","2.7317527","-0.48148148148148145","0.19999999999999998",,"42.339544513457554",,,"42.339544513457554","0",,,,"0.008916323731138546","0.19999999999999998",
Indra Industries Ltd,INDRAIND,"0","2.7203694","-0.3694126339120798","0.29712793733681464",,,"1.3142857142857145",,,"199.29000000000002","1165.751811594203","277.7173913043478",,"0.23261223540358225","0.18485639686684072","-0.8260869565217379"
Twinstar Industries Ltd,TWINSTAR,"Commodities Trading","2.7","0","1.317752596789424",,"2.3701462430660554","0",,"79.62682803832575",,,,,"0","1.2528328611898016","-83.74999999999999"
High Street Filatex Ltd,HIGHSTREE,"Textiles","2.68505","-14.640000000000002","1.1333333333333333","453.33333333333314","0","3.818181818181818","400.0000000000001","0","2.9918032786885242","308.51190476190476","95.5952380952381",,"1.4076923076923078","0.3999999999999999",
SVA India Ltd,SVAINDIA,"Commodities Trading","2.6850138","-0.5635738831615119","0.2190201729106628",,"178.85714285714286","0","3.4074605451936866","178.85714285714286","73.4451219512195",,,,"0.1034700315457413","0.12968299711815562","0.9405940594059404"
Mideast Portfolio Management Ltd,MIDEASTP,"Investment Banking & Brokerage","2.66087","0.08058608058608058","139","300","0",,"0.9677419354838709","0","0",,,,"0.03565640194489465","139",
Chambal Breweries and Distilleries Ltd,CHMBBRW,"Alcoholic Beverages","2.651020332","0.7619047619047619","24",,"0",,,"0","0",,,,"0.039167686658506735","24",
