Name,Ticker,"Sub-Sector","Market Cap","1D Change in Put OI","Highest 1D OI Change CE Strike","1 D Change in Call OI","1D Change in Future OI","Highest 1D OI Change PE Strike","1D Change in Future Volume","Highest 1W OI Change CE Strike","1W Change in Future OI","1W Change in Call OI","Percentage Rollover","Rollover Cost","Put Call Ratio","Highest Put OI Strike","Put Open Interest","Call Open Interest","Future Volume","Future Open Interest","Lot Size","Future Close Price","Basis","Fair Value Spread","Fair Value","Calendar Spread","Highest Call OI Strike","Cash & Carry Profit","1W Change in Future Volume","1W Change in Put OI","Highest 1W OI Change PE Strike"
BASF India Ltd,BASF,"Diversified Chemicals","12082.7535496",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campus Activewear Ltd,CAMPUS,"Apparel & Accessories","12026.164543",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westlife Development Ltd,WESTLIFE,"Restaurants & Cafes","12020.2212312",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegis Logistics Ltd,AEGISCHEM,"Oil & Gas - Storage & Transportation","12011.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Depository Services (India) Ltd,CDSL,"Stock Exchanges & Ratings","11784.9875",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLC India Ltd,NLCINDIA,"Metals - Diversified","11654.680698645",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Star Ltd,BLUESTARCO,"Home Electronics & Appliances","11560.55597664",,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID Infrastructure Investment Trust,PGINVIT,"Power Transmission & Distribution","11516.9498752",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aster DM Healthcare Ltd,ASTERDM,"Hospitals & Diagnostic Centres","11449.818743175",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzlon Energy Ltd,SUZLONPP,,"11410.73879557",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finolex Industries Ltd,FINPIPE,"Building Products - Pipes","11380.564356525",,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Guard Industries Ltd,VGUARD,"Electrical Components & Equipments","11327.2870048",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Century Plyboards (India) Ltd,CENTURYPLY,"Wood Products","11324.1573003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
G R Infraprojects Ltd,GRINFRA,"Construction & Engineering","11307.7797195",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyds Metals And Energy Ltd,LLOYDSME,"Iron & Steel","11241.6329493",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindustan Copper Ltd,HINDCOPPER,"Mining - Copper","11173.9625511","7.866184448462921","135","-0.0610328638497652","0.15608740894901002","85","14.700996677740871","117.5","9.907803092905208","110.30494216614089","3.601","0.604","0.5965","115","5726400","9600000","6628800","18480000","4800","115.85","0.3","0.6742026792893512","115.17579732071064","0.7","120","-774.18611","-0.2895938270281856","76.74074074074073","115"
Alembic Pharmaceuticals Ltd,APLLTD,"Pharmaceuticals","11166.751074439999",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Ltd,RBLBANK,"Private Banks","11166.228798375","-7.97133900582176","200","0.052020540299174","3.32132226225911","147.5","24.9719835636907","182.5","5.9057591623036645","82.77734678044996","3.138","0.187","0.8722410865874364","170","20550000","23560000","33455000","32975000","5000","187.5","1.25","187.5",,"0.35","190","2532.34383","1.6373669688608592","100.87976539589445","180"
EIH Ltd,EIHOTEL,"Hotels, Resorts & Cruise Lines","10990.77549865",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTK Prestige Ltd,TTKPRESTIG,"Home Electronics & Appliances","10985.8541551",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel One Ltd,ANGELONE,"Investment Banking & Brokerage","10934.114519",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Age Management Services Ltd,CAMS,"Diversified Financials","10880.2528317",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat 22 ETF,ICICIB22,"Equity","10739.054693185",,,,,,,,,,,,,,,,,,,,,,,,,,,,
