Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
Rallis India Ltd,RALLIS,"Fertilizers & Agro Chemicals","4762.5431161","58.34","0.269999999999996","-143.72000000000003","-19.200000000000017","165.82","-61.44","185.02","1696.66","1161.3799999999999","445.94","2858.04","25.449999999999996","-104.11","760.68","87.94","19.45","271.92","21.339999999999996",,"3.18","203.94750000000002","1793.9499999999998","1076.66","19.447089","92.75",,"1696.66","937.99","37.92999999999978","1589.27","160.11","315.98000000000013","138.1","696.8525000000002",,"84.71999999999977","1064.0900000000001","0"
Zensar Technologies Ltd,ZENSARTECH,"IT Services & Consulting","4754.9783922199995","88.1","156.20000000000002","-394.4","277.9","334.7","-182.6","56.8","2686.8999999999996","1184.3000000000009","796.7","3871.2000000000007","234.8","4.1","324.8","41.7","45.2","1019.5",,"53.900000000000006","160.5","735.3","2262.8","829.9","22.6201471","335.3",,"2686.9","0","119.6000000000009","2600","108.2","505.09999999999997","446.6","550.5000000000002",,"354.4000000000009","1608.4000000000003","0"
CMS Info Systems Ltd,CMSINFO,"Software Services","4750.08346662","22.64","-69.17000000000002","-234.17000000000002","-27.460000000000036","256.51","0.57","283.97","1256.13","599.56","499.32","1855.69","0","-326.25","275.42","76.53","153.15","265.28",,"30.439999999999998","0.01","206.077","954.51","431.77","15.3152747","0",,"1256.13","63.48","167.79","1026.45","76.69","156.34999999999997","126.43","587.963",,"167.79","901.1800000000001","0"
Gujarat Mineral Development Corporation Ltd,GMDCLTD,"Mining - Diversified","4706.4","6.36","-199.33","-947.4","-256.32","-215.47","-6.62","40.85","4766.75","1153.3100000000009","204.92","5920.06","0.27","22.76","209.29","0","63.6","89.78","81.27000000000001",,"596.15","0","1675.89","426.37","31.8","0.55",,"4766.75","93.39","645.4000000000009","4703.15","2114.74","217.08","1287.8000000000002","1533.28",,"726.9400000000009","4244.17","0"
ICRA Ltd,ICRA,"Stock Exchanges & Ratings","4681.80025551","26.45","-6.52000000000001","-24.710000000000004","92.16","97.38","-32.03","5.22","847.72","130.7499999999999","26.5","978.4699999999999","11.23","-71.87","9.26","0","9.65","372.28",,"4.63","391.66","1.7447","435.93999999999994","115.49","0.9651231","14.030000000000001",,"847.72","0","4.029999999999887","833.96","99.09","106.22999999999999","37.16","45.40529999999999",,"15.259999999999888","542.53","4.11"
Transport Corporation of India Ltd,TCI,"Logistics","4676.87360325","40.96","33.839999999999975","-65.69","292","368.01","-257.95","76.01","1457.6599999999999","369.36","508.25","1827.02","49.279999999999994","-76.22","88.49","27.37","15.47","89.17","27.56",,"177.98","2.7576","815.29","286.06","7.7327925","96.22999999999999",,"1457.66","8.46","6.460000000000019","1387.44","25.1","197.57","209.41","805.8923999999998",,"83.30000000000001","1011.7299999999999","27.38"
Tatva Chintan Pharma Chem Ltd,TATVA,"Specialty Chemicals","4627.28916843","0","58.53","-93.71","-68.78","20.38","234.96","89.16","473.09000000000003","185.22","56.6","658.3100000000001","13.11","-196.81","48.27","209.03","22.17","176.99",,"8.709999999999999","0","0","435.90000000000003","171.44","2.2165062","119.94",,"473.09000000000003","169.96","0.67","241.89000000000001","2.6","123.16999999999999","32.35","211.1",,"13.78","222.41","0"
Suprajit Engineering Ltd,SUPRAJIT,"Auto Parts","4606.359513105001","27.46","108.99000000000002","-101.61","128.93","181.58","-111.49","52.65","1083.9699999999998","672.8500000000003","297.19","1756.8200000000002","34.42","38.9","196.19","138.89","13.84","446.74","55.39",,"3.07","133.661","1135.92","572.5","13.838517","336.53999999999996",,"1083.97","361.56","10.540000000000218","931.2400000000001","20.04","376.31","30.43","464.12899999999996",,"100.35000000000022","620.9","0"
F D C Ltd,FDC,"Pharmaceuticals","4584.095620919999","0","7.289999999999996","-101.26","29.110000000000014","161.65","-9.84","132.54","1956.3600000000001","313.8499999999998","82.17","2270.21","25.28","-144.52","136.94","0","16.88","539.43","16.08",,"384.73","0.3435","1000.1899999999999","272.15000000000003","16.8810084","32.2",,"1956.3600000000001","304.7","0.33999999999976355","1939.91","75.41","135.21000000000004","73.89","809.5364999999999",,"41.69999999999976","1270.02","-0.43"
Star Cement Ltd,STARCEMENT,"Cement","4577.343222525","0","-47.410000000000025","71.47999999999999","217.63","417.07","-175.63","199.44","2168.44","576.6700000000002","128.75","2745.11","7.999999999999999","-288.85","118.94","0","40.42","546.57",,"353.91999999999996","1.78","0","1129.9900000000002","402.58","40.4180417","15.649999999999999",,"2168.44","195.3","166.09000000000023","2128.02","226.89","283.64","259.37000000000006","1032.53",,"174.09000000000023","1615.12","0"
Kirloskar Oil Engines Ltd,KIRLOSENG,"Industrial Machinery","4574.32930752","57.84","-93.10000000000014","-1442.66","-1166.29","-1040.69","950.48","125.6","2081.6900000000005","2939.4799999999996","468.77","5021.17","1069.1799999999998","-2.89","574.27","0","28.92","828.9699999999999","8.54",,"82.98","257.78","2753.5899999999997","1782.6299999999999","14.4613861","1964.6599999999996",,"2081.69","388.05","79.13","2052.73","1420.37","1208.36","1067.8","506.4500000000003",,"1156.85","2267.58","0.02"
PDS Limited,PDSL,"Textiles","4560.9705376","95.96","160.20999999999998","2.9200000000000195","358.26","402.63","-21.86","44.37","936","2459.24","1421.31","3395.24","91.55999999999992","-220.56","1566.32","0","26.04","703.25",,"8.5","280.99","51.7625","2611.48","2349.88","13.023362","740.48",,"936","305.25","17.799999999999528","846.36","27.68","783.5600000000002","181.67000000000002","414.8275",,"109.35999999999945","783.7599999999999","63.6"
