Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
KMF Builders and Developers Ltd,KMFBLDR,"Real Estate","4.921528","0","0.68","0.2500000000000001","0.61","0.62","-0.09","0.01","11.889999999999999","8.900000000000004","0","20.790000000000003","0.48","0.15","0.17","0","6.09","4.88",,"0.04","0.22","0","20.19","8.42","1.2182","0.48",,"11.89","14.21","3.552713678800501e-15","5.8","0","8.25","1.0999999999999999","0.33999999999999997",,"0.48000000000000353","0.6",
Hasti Finance Ltd,HASTIFIN,,"4.921237420000001","0","0","-1.23","0","0","0","0","21.29","1.12","0.01","22.41","0","0","0.53","11.31","10.84","0",,"1.87","2.56","0","2.7299999999999995","1.12","1.083973","0",,"21.29","0","0","-0.8600000000000012","0","0.5900000000000001","2.7199999999999998","0.07999999999999996","15.17","0","19.68",
K Z Leasing and Finance Ltd,KZLFIN,"Consumer Finance","4.911538","0","0.27","0.04","-0.46","-0.44","-1.5","0.02","18.08","7.510000000000007","0.09","25.590000000000003","0.7500000000000004","2.21","0.01","0","3.04","1.02","2.29",,"14.6","0","1.1900000000000002","3.65","0.30412","4.19",,"18.08","0","0.8200000000000071","15.04","2.62","3.64","0.08","0.06000000000000001","7.12","3.8600000000000074","24.400000000000002",
Bharatiya Global Infomedia Ltd,BGLOBAL,"IT Services & Consulting","4.9113641","0","-0.030000000000000027","1.5900000000000003","1.75","1.75","-1.78","0","91.28999999999999","38.89000000000001","6","130.18","0","0","5.33","57.5","15.84","0.76","4.11",,"0.05","14.8231","50.43","16.11","1.584311","4.47",,"91.29","26.64","18.67000000000001","17.47","22.18","10.78","17.03","42.6969",,"22.78000000000001","79.75","0.48"
Kome-on Communication Ltd,KOCL,"Movies & TV Serials","4.907650989","0","0","0.2","0","0","0","0","14.449999999999998","0.020000000000003553","0","14.47","0","0","0","1","15.01","0.08",,,"0","0","0.38","0.02","1.5008107","0",,"14.449999999999998","0","3.552713678800501e-15","-1.56","14.09","0.02","0.3","0",,"3.552713678800501e-15","14.09",
Krishna Capital and Securities Ltd,KRISHNACAP,"Investment Banking & Brokerage","4.89552","0","-0.010000000000000009","-0.12","-0.33","-0.33","0","0","6.01","0.029999999999999784","0.19","6.039999999999999","0","0.32","0","0.54","3.16","0.02",,,"1.94","0","0.26","0.019999999999999997","0.31584","0",,"6.01","0.05","0.009999999999999787","2.31","0","0.019999999999999997","0","0.01","3.83","0.009999999999999787","5.779999999999999","0"
Neelkanth Rock-Minerals Ltd,NEELKAN,"Building Products - Granite","4.892389","0","1.6800000000000002","1.31","1.01","1.01","0","0","7.390000000000001","0.18999999999999934","0","7.58","0","0.67","0.11","0","5.04","2.86",,,"0.15","0","7.42","0.2","0.50437","0",,"7.390000000000001","0","-0.010000000000000675","2.35","0.01","0.09000000000000001","4.56","0",,"-0.010000000000000675","0.16",
Tci Finance Ltd,TCIFINANCE,"Diversified Financials","4.89154734","0","0.019999999999997353","-18.94","-22.6","-22.6","-2.53","0","-46.740000000000016","109.69000000000001","0","62.95","22.82","25.15","0.49","0.02","14.2","0.07","3.23",,"42.84","0","18.85","83.64","1.2872493","22.82",,"-46.74","0","7.105427357601002e-15","-60.96","0","83.15","18.78","1.26","0","26.050000000000008","44.1",
Foundry Fuel Products Ltd,FFPL,"Metals - Coke","4.8914375","0","0.010000000000000009","0.03","-0.13","-0.13","0.14","0","-0.5300000000000011","0.6400000000000011","0","0.11000000000000001","0","0","0.07","0","8.02","0.01",,,"0","0","0.01","0.6400000000000001","0.801875","0.46",,"-0.5300000000000011","0","1.0269562977782698e-15","-8.55","0.01","0.5700000000000001","0","0.09000000000000002",,"1.0269562977782698e-15","0.10000000000000002",
Alchemist Corporation Ltd,ALCHCORP,"0","4.889761335","0","-0.020000000000000157","-0.22","-1.82","-1.82","-0.1","0","15.63","1.83","0","17.46","0.21","1.9","0","0","4.91","0",,"0.07","1.27","0","1.3599999999999999","1.62","0.4914333","0.21",,"15.63","0","0","10.72","0","1.62","1.3599999999999999","14.76",,"0.21","16.1","0"
NCC Blue Water Products Ltd,NCCBLUE,"Packaged Foods & Meats","4.8825","0","0.43","-0.010000000000000002","0.43","0.43","0","0","7.48","0.0799999999999989","0","7.56","0","0","0","0","7.75","6.52",,"0.52","0","0","6.55","0.05","0.775","0",,"7.48","0","0.0299999999999989","-0.27","0.1","0.05","0.030000000000000027","0.39",,"0.0299999999999989","1.01",
Libord Securities Ltd,LIBORD,"Investment Banking & Brokerage","4.85","0","0.009999999999999981","-0.009999999999999995","-0.14","-0.14","0","0","3.92","0.030000000000000443","0.23","3.95","0","0.15","0","0","5","0.03",,,"1.64","0","2.16","0.03","0.5","0",,"3.92","0","4.440892098500626e-16","-1.08","0.15","0.03","1.9","0","0","4.440892098500626e-16","1.7899999999999998",
Omni AX's Software Ltd,OMNIAX,"Software Services","4.838471279","0","0","0.17","0","0","0","0","11.849999999999998","0.36000000000000354","0.06","12.21","0","0","0","4.4","17.22","0.04","0.16",,"0","5.3763","6.83","0.19999999999999998","1.7218","0",,"11.849999999999998","6.11","3.552713678800501e-15","-9.77","0","0.19999999999999998","0.62","0.0037000000000002586",,"0.16000000000000356","5.38",
Rich Universe Network Ltd,RICHUNV,"Diversified Financials","4.8303648","0","0.03","-0.030000000000000464","0.03","0.03","0","0","7.400000000000001","12.309999999999999","8.98","19.71","0","0","7.76","0","7.25","0.05",,,"0.1","0","19.09","12.3","0.72528","1.62",,"7.4","0.03","0.00999999999999801","0.15","0.52","4.540000000000001","10.03","0",,"0.00999999999999801","0.62",
Garodia Chemicals Ltd,GARODCH,"Commodity Chemicals","4.824134","0","0","-0.02","-0.13","-0.13","0.13","0","-4.3","4.3999999999999995","0","0.1","4.31","0","0.03","0","7.2","0",,,"0","0","0.04","0.1","0.72002","4.31",,"-4.3","0","-0.009999999999999426","-11.5","0.06","0.07","0.04","0",,"4.3","0.06",
Wagend Infra Venture Ltd,WAGEND,"Specialized Finance","4.80675","0","0.21","0.09","0.21","0.21","0","0","9.15","0.75","0","9.9","0","0","0","1.81","9.43","0.25",,"0.01","0","0","9.88","0.75","4.7125","0",,"9.15","0.97","0","-2.09","0","0.75","8.66","0.010000000000000009","0","0","0.02000000000000001",
Milestone Furniture Ltd,MILEFUR,"Business Support Services","4.787955","0","0","1.25","-0.12","-0.12","0.12","0","26.240000000000002","0.4399999999999985","4.48","26.68","0.28","0","0.17","17.85","9.3","0.03",,"0.02","0","0","16.14","0.17","0.9297","0.28",,"26.240000000000002","2.5","-0.010000000000001563","-0.9100000000000001","5","0","9.13","5.52",,"0.26999999999999846","10.54",
Manav Infra Projects Ltd,MANAV,"Construction & Engineering","4.7852","0","-0.21999999999999997","3.1100000000000003","1.12","1.12","-1.93","0","-3.8200000000000003","14.05","3.58","10.23","5.029999999999999","0.59","1.21","3.67","6.84","0.06",,"1.75","0.06","0","5.130000000000001","9.02","0.6836","11.969999999999999",,"-3.8200000000000003","0","1.7763568394002505e-15","-14.33","0.81","7.81","1.4900000000000002","2.4799999999999995",,"5.030000000000001","5.1",
Pankaj Piyush Trade and Investment Ltd,PANKAJPIYUS,"Investment Banking & Brokerage","4.78","0","0.19999999999999996","-1.47","-1.37","-1.37","0","0","27.329999999999995","0.15000000000000555","0.04","27.480000000000004","0","1.57","0.11","18","2.4","0.99","0.01",,"0","0","4.92","0.15","0.04","0",,"27.33","3.41","-0.009999999999994458","6.93","22.28","0.039999999999999994","0.48","0.28",,"5.542441505745899e-15","22.560000000000002",
Corporate Merchant Bankers Ltd,CMBL,"Investment Banking & Brokerage","4.7718","0","0","0.02","0.02","0.02","-0.02","0","3.3600000000000003","0.06999999999999999","0.41","3.4299999999999997","0.06","0","0","0","3.3","0.68",,,"0","0","1.1500000000000001","0.01","0.33","0.06",,"3.36","0","0","0.06","0","0.01","0.06","0","2.28","0.06","2.28","0"
CDG Petchem Ltd,CDG,,"4.770125","0","0.05999999999999961","2.69","2.0599999999999996","2.55","-2.08","0.49","2.0199999999999996","25.270000000000003","13.68","27.290000000000003","5.7299999999999995","-0.41","0.4","0","3.08","0.41000000000000003","0.30000000000000004",,"0","0","20.490000000000002","19.240000000000002","0.30775","17.36",,"2.02","1.51","0","-1.06","0.2","18.840000000000003","4.890000000000001","6.6",,"6.029999999999999","6.8","0"
S G N Telecoms Ltd,SGNTE,"Electrical Components & Equipments","4.7677841","0","-0.25","-0.19","-0.27","-0.27","0.12","0","1.29","2.2999999999999994","2.55","3.5899999999999994","0","-0.1","0.04","0","8.08","0",,,"0","0","2.5599999999999996","0.13","8.08099","0",,"1.29","0","2.1699999999999995","-6.79","0","0.09","0.01","1.0299999999999998",,"2.1699999999999995","1.0299999999999998",
Citi Port Financial Services Ltd,CITIPOR,"Diversified Financials","4.7585","0","-4.08","-4.140000000000001","-3.89","-3.89","-0.19","0","3.06","0.73","0","3.79","0","0","0","0","3.1","0.08",,,"0","0","3.77","0.73","0.31","0",,"3.06","0","0","-0.04","0","0.73","3.69","0","0.02","0","0.02",
Datiware Maritime Infra Ltd,DATIWARE,,"4.74","0","0.010000000000000009","0.25","-0.33999999999999997","-0.25","0.35","0.09","-0.3099999999999996","7.1899999999999995","0.02","6.88","5.6","-0.09","0.25","0","5","0.01",,"0.29","0","0","0.54","1.19","0.5","6.5",,"-0.3099999999999996","0.43","0.4","-5.31","0.43","0.94","0.08000000000000002","5.62",,"6","6.34",
Majestic Research Services and Solutions Ltd,MRSS,"Business Support Services","4.732272","0","-0.009999999999999995","20.32","0.07","0.07","-0.08","0","13.23","31.16","20.25","44.39","8.25","0","2.47","3.69","10.03","2.45",,"0.73","3.09","0","33.97","22.75","1.0026","13.06",,"13.229999999999999","0","0.16","-0.48999999999999977","0.2","20.28","11.27","6.4",,"8.41","10.42",
Ushakiran Finance Ltd,USHAKIRA,"Diversified Financials","4.7200475","0","0.17","0.32999999999999996","0.2","0.4","0","0.2","12.339999999999998","0.019999999999998224","0","12.359999999999998","0","-0.23","0","0","2.75","0.26",,"0.1","10.86","0","0.27","0.02","0.2747075","0",,"12.34","0","-1.7763568394002505e-15","9.59","0","0.02","0.009999999999999995","0.27","0.86","-1.7763568394002505e-15","12.089999999999998",
Nanavati Ventures Ltd,NVENTURES,,"4.71328","0","0.09999999999999999","0.07000000000000187","0.09999999999999999","0.12","0","0.02","6.1800000000000015","11.539999999999997","13.73","17.72","0","-0.02","11.44","4.8","1.21","0.17",,,"0","0","17.68","11.53","0.121","0",,"6.18","2.79","0.00999999999999801","0.16999999999999993","0","0.08999999999999986","0.99","0.04000000000000001",,"0.00999999999999801","0.04000000000000001",
Tavernier Resources Ltd,TAVERNIER,"Precious Metals, Jewellery & Watches","4.70250292881393","0","0.16000000000000003","0.11","0.52","0.52","-0.36","0","5.630000000000001","3.169999999999998","0","8.799999999999999","2.83","0","0.04","0","5.98","0.27",,"0.02","0","0","0.35000000000000003","0.34","0.59919","2.83",,"5.630000000000001","0","-1.7763568394002505e-15","-0.35","8.42","0.30000000000000004","0.08","0.010000000000000009",,"2.8299999999999983","8.45",
HB Leasing and Finance Co Ltd,HBLEAS,"Diversified Financials","4.701660675","0","-0.010000000000000009","-0.049999999999999996","0.13999999999999999","0.15","-0.15","0.01","2.2799999999999976","0.6800000000000024","0.5","2.96","0.06","-0.01","0","18.06","11","0.07",,"0.01","0.31","0","2.62","0.61","1.100411","0.06",,"2.2799999999999976","0","0.010000000000002451","-26.78","0","0.61","2.0500000000000003","0.01999999999999999","0","0.07000000000000245","0.33999999999999997",
Rama Petrochemicals Ltd,RAMAPETRO,,"4.7007606","0","0.020000000000000018","-1.8099999999999998","-1.64","-1.64","1.63","0","-52.63","56.370000000000005","0","3.74","20.919999999999998","0.03","0.17","0","10.47","0.14",,,"0","0","2.7600000000000002","4.33","1.04694","20.919999999999998",,"-52.63","0","31.120000000000005","-63.1","0.55","4.16","2.62","0.43",,"52.040000000000006","0.98","0"
Corporate Courier and Cargo Ltd,CORPOCO,,"4.6944","0","-0.020000000000000018","-0.22999999999999998","-0.28","-0.28","0.26","0","0.5800000000000001","0.7999999999999998","0.66","1.38","0","0","0.02","7.67","7.18","0.02",,,"0","0","1.38","0.81","0.71527","0.32",,"0.5800000000000001","0","-0.010000000000000231","-14.27","0","0.79","0.7","0",,"-0.010000000000000231","0",
Sikozy Realtors Ltd,SIKOZY,"Real Estate","4.681215","0","-0.010000000000000002","0.15999999999999998","0.03","0.03","-0.03","0","0.46999999999999886","0.22000000000000122","0.52","0.6900000000000001","0","-0.01","0","1.81","4.46","0.01",,,"0","0","0.6900000000000001","0.22","4.4583","0.18",,"0.46999999999999886","0.13","1.2212453270876722e-15","-5.800000000000001","0","0.22","0.03","0",,"1.2212453270876722e-15","0",
Patidar Buildcon Ltd,PATIDAR,"Real Estate","4.6754845","0","-0.04999999999999999","-0.28","-0.41","-0.41","0","0","6.9399999999999995","0.3500000000000007","1.25","7.29","0","0.36","0.18","0","5.5","1.93",,,"0.97","0","5.17","0.34","0.550057","0",,"6.9399999999999995","1.54","0.010000000000000675","1.44","0.95","0.16000000000000003","0.45","0.2",,"0.010000000000000675","2.12",
Sybly Industries Ltd,SYBLY,"Textiles","4.66989303","0","-0.050000000000000266","0.8800000000000003","1.8399999999999999","1.88","-3.66","0.04","9.29","10.850000000000005","6.22","20.140000000000004","3.4200000000000004","1.73","2.34","0","9.16","0.04",,"1.96","0","0","8.21","7.4399999999999995","0.9156653","6.94",,"9.290000000000001","1.21","-0.009999999999994458","0.13","0.66","5.1","0.7400000000000002","9.310000000000002",,"3.410000000000006","11.930000000000003",
Richa Industries Ltd,RICHAIND,"Construction & Engineering","4.66257","0","0","0","0","0","0","0","-251.61999999999995","428.16999999999996","48.66","176.55","11.01","0","42.67","22.34","23.52","2.2","11.4",,"0.01","0","83.89","404.46000000000004","2.343","346.29",,"-251.61999999999995","6.86","1.2999999999999046","-297.47999999999996","0","361.79","26.17","92.65",,"23.709999999999905","92.66000000000001",
AA Plus Tradelink Ltd,AAPLUSTRAD,,"4.653936","0","0.3100000000000005","-8.59","-9.25","-9.25","8.73","0","12.72","6.8199999999999985","5.7","19.54","0","0.83","2.89","3.95","8.16","0.34",,,"0","0","19.52","6.8100000000000005","0.81648","3.39",,"12.719999999999999","0","0.00999999999999801","0.6099999999999994","0","3.9200000000000004","13.48","0.01999999999999999",,"0.00999999999999801","0.01999999999999999",
Narayani Steels Ltd,NARAYANI,,"4.64996125","0","0.39","-0.52","-0.51","-0.18","0.91","0.33","49.61","3.46","30.23","53.07","2.72","-0.34","0.37","16.74","0.55","0.44",,"6.99","0","0","35.99","0.74","0.054545","2.72",,"49.61","1.51","0","7.300000000000001","0.77","0.37","3.8100000000000005","9.32",,"2.72","17.08","0"
Rajath Finance Ltd,RAJATH,"Diversified Financials","4.644","0","0.84","0.71","0.84","0.84","0","0","6.93","0.09999999999999933","0","7.029999999999999","0","0","0.11","0","4","1.31",,"0.06","0","0","1.3800000000000001","0.11","0.4","0",,"6.93","0.02","-0.010000000000000675","2.93","0","0","0.05","0.21999999999999997","5.37","-0.010000000000000675","5.6499999999999995",
Melstar Information Technologies Ltd,MELSTAR,"IT Services & Consulting","4.642020175","0","1.26","4.16","1.54","1.55","-0.28","0.01","-3.5000000000000018","15.540000000000003","2.38","12.040000000000001","0","-0.01","7.55","0","14.28","1.3",,,"0.14","0","11.39","15.24","1.4283139","2.97",,"-3.5000000000000018","0","0.30000000000000177","-17.78","0.5","7.69","7.71","0.009999999999999787",,"0.30000000000000177","0.6499999999999998",
Infra Industries Ltd,INFRAIND,"Plastic Products","4.606987","0","0","0","0","0","0","0","-2.4700000000000015","10.15","1.4","7.679999999999999","0.07999999999999993","0","1.85","0","5.99","0.05",,"0.03","0","0","3.9999999999999996","9.77","0.59919","6.369999999999999",,"-2.4700000000000006","1.94","0.30000000000000066","-8.46","0.13","7.92","0.61","3.5199999999999996",,"0.38000000000000056","3.6799999999999993",
Thirdwave Financial Intermediaries Ltd,THIRDFIN,"Commodities Trading","4.602846","0","-0.91","-0.97","-0.91","-0.91","0","0","1.4400000000000002","0.01999999999999979","0.07","1.46","0","0","0","0","2.83","0.07",,,"0","0","0.7100000000000001","0.01","0.2834684","0",,"1.4400000000000002","0.53","0.009999999999999787","-1.39","0","0.01","0.04","0","0.75","0.009999999999999787","0.75",
Shelter Infra Projects Ltd,SIPL,"Construction & Engineering","4.601937529","0","-0.17","0.03999999999999998","-0.17","-0.17","0","0","4.259999999999998","39.650000000000006","14.02","43.910000000000004","0","0","13.18","1.9","3.57","0.92",,"0.11","0.95","5.563","30.700000000000003","38.78","0.3570161","17.64",,"4.26","0.9","0.8700000000000071","-1.21","1.83","25.6","14.860000000000001","4.757000000000002",,"0.8700000000000071","13.21",
Capricorn Systems Global Solutions Ltd,CAPRICORN,"IT Services & Consulting","4.5954","0","0.34","0.06","0.34","0.34","0","0","3.75","0.3999999999999993","0","4.1499999999999995","0","0","0.01","0","4","0.65",,"0.02","0","0","1.03","0.41","0.3996","0",,"3.75","0","-0.010000000000000675","-0.25","0.03","0.39999999999999997","0.38","3.0699999999999994",,"-0.010000000000000675","3.119999999999999",
Progrex Ventures Ltd,PROGREXV,"Packaged Foods & Meats","4.5920056","0","0.039999999999999994","0","-0.05","-0.05","0","0","7.6899999999999995","1.1600000000000001","0","8.85","0","0.09","0.04","0","3.6","0.1","1.03",,"0","0","8.4","0.1399999999999999","0.36044","0",,"7.6899999999999995","0","-0.009999999999999787","4.09","0","0.0999999999999999","8.3","0.45",,"1.0200000000000002","0.45",
Rajasthan Gases Ltd,RAJGASES,,"4.56773","0","0.08000000000000007","-0.019999999999999997","-0.46","-0.46","4","0","1.2299999999999995","4.220000000000001","0","5.45","0","-3.46","0","0","1.61","0.4",,,"5","0","0.4","4.21","0.53738","4.2",,"1.23","0","0.010000000000000675","-0.38","0.05","4.21","0","0",,"0.010000000000000675","5.05",
GI Engineering Solutions Ltd,GISOLUTION,"Construction & Engineering","4.56429534","0","-0.11","-0.09","-0.11","-0.11","0","0","4.36","0.08","0","4.44","0","0","0.01","0.88","8.61","0.03",,,"0","0","4.44","0.08","0.8611878","0",,"4.36","0","0","-5.13","0","0.07","4.41","0",,"0","0",
Sheetal Diamonds Ltd,SHEETAL,"Precious Metals, Jewellery & Watches","4.56","0","-0.33","0.009999999999999565","-0.35000000000000003","-0.02","0.01","0.33","3.41","1.0300000000000002","0.7","4.44","0.07","-0.32","0.83","0","5","0.17",,,"0","0","3.41","0.97","1","0.1",,"3.41","1.82","-0.009999999999999787","-1.59","0.23","0.14","0.72","0.8",,"0.06000000000000022","1.03",
Beryl Securities Ltd,BERYLSE,"Diversified Financials","4.558718","0","-0.12","-0.5499999999999999","-0.12","-0.12","0","0","9.41","0.24999999999999978","0","9.66","0","0","0","0","5.05","0.37",,"0.06","0","0","1.19","0.24","0.505115","0",,"9.41","0","0.009999999999999787","4.36","0","0.24","0.8200000000000001","0.01999999999999999","8.39","0.009999999999999787","8.47",
Thirani Projects Ltd,TPROJECT,"Investment Banking & Brokerage","4.527684","0","2.06","1.91","2.06","2.06","0","0","18.79","0.10000000000000156","0","18.89","0","0","0","0","20.21","2.71",,,"8.02","0","2.86","0.09","2.0212875","0",,"18.79","0","0.010000000000001563","-1.42","0","0.09","0.15","0","8.01","0.010000000000001563","16.03",
Shyamkamal Investments Ltd,SHYMINV,,"4.51805","0","0","-0.19999999999999998","0","0","0","0","2.209999999999999","0.28000000000000047","0","2.4899999999999998","0.05","0","0.2","0","8.29","0.01",,,"0.04","0","0.46","0.23","0.829","0.05",,"2.209999999999999","0.45","4.440892098500626e-16","-6.08","0","0.03","0","0","1.99","0.05000000000000045","2.03",
Mahalaxmi Seamless Ltd,MAHALXSE,"Iron & Steel","4.515597","0","0.0900000000000003","-6.14","-5.01","-5","-2.98","0.01","0.1299999999999999","4.18","0.19","4.31","1.64","8.07","0.27","0","5.28","0.19","0.33",,"0","0","0.39","0.57","0.52814","1.84",,"0.1299999999999999","0","1.6399999999999992","-5.15","0.74","0.29999999999999993","0.01","3.1799999999999997",,"3.6099999999999994","3.92",
Ace Engitech Ltd,ACEENGITEC,,"4.509141","0","-0.22999999999999998","0.020000000000000004","0.24000000000000002","0.27","0","0.03","0.8299999999999997","0.4500000000000007","0.08","1.2800000000000002","0","-0.5","0.01","0.08","3.3","0.14",,,"0.29","0","0.38","0.45","0.33034","0",,"0.8299999999999996","0","6.661338147750939e-16","-2.5500000000000003","0","0.44","0.16","0.06000000000000001","0.55","6.661338147750939e-16","0.9000000000000001",
Atharv Enterprises Ltd,ATHARVENT,"Commodities Trading","4.505","0","0.7","0.05000000000000002","-0.49","-0.49","-0.06","0","19.56","1.780000000000002","0","21.34","0.46","1.25","0","0","17","0.15","0.04",,"5.47","0","4.55","1.29","1.7","0.46",,"19.56","0.46","-0.00999999999999801","2.56","11.21","1.29","3.94","0.11",,"0.490000000000002","16.79",
Saptak Chem and Business Ltd,SCBL,"Fertilizers & Agro Chemicals","4.475357424","0","-0.009999999999999995","-0.12000000000000001","-0.12","-0.12","0.11","0","-2.139999999999999","3.7299999999999986","0.07","1.5899999999999999","0","0","0.85","0","10.73","0.01",,,"0","0","0.7","3.74","1.0732272","2.89",,"-2.139999999999999","0","-0.010000000000001563","-12.87","0.89","2.89","0.62","0",,"-0.010000000000001563","0.89",
IB Infotech Enterprises Ltd,IBINFO,,"4.450505475","0","-0.43000000000000005","-0.01","-0.15","-0.15","0","0","0.41000000000000014","0.019999999999999834","0","0.43","0","-0.28","0.01","0.38","1.28","0.11",,,"0","0","0.13","0.02","0.1280721","0",,"0.41000000000000014","0","-1.6653345369377348e-16","-1.25","0.3","0.01","0.02","0",,"-1.6653345369377348e-16","0.3",
Hira Automobiles Ltd,HIRAUTO,"Four Wheelers","4.42202464","0","-0.3099999999999996","-3.23","5.87","6.53","-6.38","0.66","12.230000000000004","82.18999999999998","23.19","94.41999999999999","28.609999999999992","-0.46","0.47","0","2.75","1.83","1",,"0","0","81.46","50.82","0.275344","77.25999999999999",,"12.23","41.36","1.759999999999991","9.48","0.36","50.35","15.08","12.600000000000001",,"31.369999999999983","12.96",
Ekam Leasing and Finance Co Ltd,EKAMLEA,"Investment Banking & Brokerage","4.404","0","0.01","-0.12999999999999998","0.01","0.01","0","0","3.2","3.419999999999998","0","6.619999999999998","0","0","0","0","3","0.01",,"0.31","0.31","0","0.71","3.41","0.6","3.31",,"3.2","0","0.00999999999999801","0.2","0","3.41","0.7","0.01999999999999999","5.27","0.00999999999999801","5.909999999999998",
Parker Agro Chem Exports Ltd,PARKERAC,,"4.39668","0","0.09000000000000002","0.88","0.34","0.34","-0.34","0","2.3699999999999997","2.150000000000001","0.62","4.5200000000000005","0","0.09","1.68","0","4.78","0.41",,,"0.01","0","1.17","1.9700000000000002","0.4779","0.12",,"2.37","0","0.1800000000000007","-2.41","1.57","0.29000000000000026","0.14","1.7700000000000005",,"0.1800000000000007","3.3500000000000005",
Sungold Capital Ltd,SUNGOLD,"Diversified Financials","4.38002943","0","-0.11","-0.16000000000000003","-0.11","-0.11","0","0","22.039999999999996","0.2500000000000051","0","22.29","0","0","0.05","1.99","18.4","0.04",,,"0.25","0","22.04","0.24","1.8403485","0",,"22.039999999999996","0","0.010000000000005116","1.6500000000000001","0","0.19","22","0","0","0.010000000000005116","0.25",
Tiaan Consumer Ltd,TIAANC,"Pharmaceuticals","4.364331375","0","-0.03","0.08000000000000007","-0.03","-0.03","0","0","10.399999999999999","0.13000000000000156","3.75","10.53","0","0","0","-3.81","10.27","0.01",,,"0","0","6.869999999999999","0.12","1.0269","0.03",,"10.399999999999999","3.09","0.010000000000001563","3.94","2.47","0.12","0.02","1.19",,"0.010000000000001563","3.66",
Gujarat Metallic Coal & Coke Ltd,GMETCOAL,"Commodities Trading","4.3574476","0","-0.04999999999999716","-41.00000000000001","-53.36","-53.36","0","0","15.409999999999995","64.44000000000001","0","79.85000000000001","0","53.31","0","0","19.81","0.02",,,"79.53","0","0.26","64.44","0.1980658","13.41",,"15.409999999999998","0","1.4210854715202004e-14","-4.4","0","64.44","0.24","0.06",,"1.4210854715202004e-14","79.59",
Narmada Macplast Drip Irrigation Systems Ltd,NARMP,"Agricultural & Farm Machinery","4.351223","0","0.19","-0.01","0.01","0.01","0.19","0","2.3100000000000005","3.8999999999999986","4.07","6.209999999999999","0.43","-0.01","3.38","0","3.62","0.27",,,"0.59","0","4.3999999999999995","3.47","0.3623","0.43",,"2.31","0","-1.7763568394002505e-15","-1.31","0.95","0.0900000000000003","0.06","0.27",,"0.4299999999999982","1.81",
Aarcon Facilities Ltd,RBGUPTA,"Real Estate","4.34484","0","-0.03","-0.06999999999999999","-0.03","-0.03","0","0","4.539999999999999","0.11000000000000135","0","4.65","0","0","0.07","0","5.06","0.05",,"0.32","0.1","0","0.24","0.09","0.506195","0",,"4.539999999999999","0","0.02000000000000135","-0.52","3.51","0.01999999999999999","0.19","0.48",,"0.02000000000000135","4.41",
SW Investments Ltd,SW1,"Consumer Finance","4.338","0","-0.04999999999999982","-0.8","-5.23","-0.83","3.68","4.4","6.709999999999998","0.07000000000000021","0.01","6.779999999999999","0","-2.9","0.05","2.1","0.9","0.06",,,"1.6","0","0.7599999999999999","0.08","0.09","0",,"6.709999999999999","0","-0.009999999999999787","3.7099999999999995","4.42","0.03","0.69","0","0","-0.009999999999999787","6.02",
JMG Corp Ltd,JMGCORP,"IT Services & Consulting","4.30736847","0","-2.0700000000000003","0.32999999999999996","-2.16","-1.48","-0.26","0.68","7.269999999999999","1.2","0.92","8.469999999999999","0.77","-0.33","0.41","0.42","5.79","0.41",,,"0","0","1.87","0.42","2.3157895","0.77",,"7.27","0","0.01","1.06","5.92","0.010000000000000009","0.54","0.6799999999999999",,"0.78","6.6",
Netripples Software Ltd,NETRIPPLES,,"4.3014639","0","0","0","0","0","0","0","9.870000000000001","0.2900000000000002","0.41","10.160000000000002","0","0","0.06","0","6.82","0","0.24",,"0","0","9.610000000000001","0.06","0.68169","0",,"9.870000000000001","9.13","-0.009999999999999787","3.05","0","0","0.07","0.55",,"0.2300000000000002","0.55",
Pankaj Polymers Ltd,PANKAJPO,"Packaging","4.2798908","0","5.551115123125783e-17","-0.09999999999999999","-0.69","-0.69","-0.3","0","11.14","3.6599999999999984","0.18","14.799999999999999","2.79","0.99","0","0.68","5.54","0.09",,,"2.32","0","11.37","0.8600000000000001","0.55439","3.35",,"11.14","0","0.00999999999999801","4.92","0.01","0.8600000000000001","11.1","1.1",,"2.799999999999998","3.4299999999999997",
Aviva Industries Ltd,AVIVA,"Building Products - Glass","4.27215","0","-0.020000000000000018","-0.75","-0.74","-0.74","0.72","0","3.150000000000001","0.9999999999999991","0.04","4.1499999999999995","0.79","0","0","0","1.5","0.05","0.01",,"1.69","0","0.12","0.19999999999999998","0.1499","0.79",,"3.15","0","-8.881784197001252e-16","1.65","2.34","0.19999999999999998","0.03","0",,"0.7999999999999992","4.029999999999999",
